wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,fleet,startup,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,VCC(Google),-,0,0.3333333333333333,E29,32.21,189.31,41,1.935251,51.2301,-5.0997,0.0,0,21.4228,3.4958,69.198,0.0,True,24.5,0,0.0097,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,Threshold(WaitAwhile),-,0,0.3333333333333333,E29,32.21,189.31,41,1.739821,56.1551,5.5137,0.0,0,19.9735,3.2064,75.225,8.1908,False,25.5,0,0.0412,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,WOA,random,1,0.3333333333333333,E29,32.21,189.31,41,1.747618,55.9586,5.0903,0.0,0,20.2005,3.3314,78.771,0.0,True,27.5,4840,8.5953,4.86
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,WOA,random,2,0.3333333333333333,E29,32.21,189.31,41,1.746318,55.9914,5.1608,0.0,0,20.2066,3.3354,79.394,0.0,True,28.0,4840,8.5602,4.97
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,WOA,random,3,0.3333333333333333,E29,32.21,189.31,41,1.754612,55.7824,4.7104,0.0,0,20.2457,3.3413,80.638,0.0,True,27.5,4840,8.5277,4.7
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,4,0.3333333333333333,E29,32.21,189.31,41,2.163622,88.8619,8.9355,0.0,0,25.1354,4.151,82.801,0.0,True,27.5,4840,5.9377,4.89
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,5,0.3333333333333333,E29,32.21,189.31,41,2.005771,89.6745,15.5792,0.0,0,25.3354,4.0667,77.583,0.0,True,27.0,4840,6.0764,5.12
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,6,0.3333333333333333,E29,32.21,189.31,41,2.094762,89.2163,11.8337,0.0,0,25.1104,4.101,83.299,0.0,True,27.0,4840,5.8616,4.73
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,7,0.3333333333333333,E29,32.21,189.31,41,2.123003,89.071,10.6451,0.0,0,25.2729,4.154,81.189,0.0,True,27.5,4840,5.9177,4.69
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,8,0.3333333333333333,E29,32.21,189.31,41,2.115728,89.1084,10.9513,0.0,0,25.1479,4.1277,82.357,0.0,True,27.5,4840,5.8309,4.96
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,9,0.3333333333333333,E29,32.21,189.31,41,2.108019,89.1481,11.2757,0.0,0,25.1854,4.1385,80.665,0.0,True,28.0,4840,5.8868,4.92
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,10,0.3333333333333333,E29,32.21,189.31,41,1.992067,89.745,16.156,0.0,0,25.4229,4.0901,75.738,0.0,True,27.0,4840,5.8966,4.66
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,FIFO,-,0,0.3333333333333333,E29,32.21,189.31,41,26.164497,0.0,-857.3031,0.0,0,292.4979,47.4802,5.333,8.1908,False,24.5,0,0.0,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,WOA,carbon,10,0.3333333333333333,E29,32.21,189.31,41,1.713927,56.8077,6.9199,0.0,0,20.0194,3.3304,80.4,0.0,True,26.5,4840,8.5626,5.5
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,FIFO,-,0,0.3333333333333333,E29,32.21,189.31,41,6.214516,0.0,-216.9989,0.0,0,69.695,11.6484,5.333,8.1908,False,24.5,0,0.0,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,Consolidation,-,0,0.3333333333333333,E29,32.21,189.31,41,1.960422,68.4542,0.0,0.0,0,21.696,3.5499,66.586,8.1908,False,24.5,0,0.0,0.0
